YEAR,MONTH,is_interstate,fatal_crashes,fatalities
1996,1,0,2356,2639
1996,1,1,309,350
1996,2,0,2284,2529
1996,2,1,288,316
1996,3,0,2560,2878
1996,3,1,326,379
1996,4,0,2574,2882
1996,4,1,345,402
1996,5,0,2712,3021
1996,5,1,372,426
1996,6,0,2990,3327
1996,6,1,409,499
1996,7,0,2792,3118
1996,7,1,421,500
1996,8,0,3020,3392
1996,8,1,467,549
1996,9,0,2817,3182
1996,9,1,377,441
1996,10,0,3090,3367
1996,10,1,394,448
1996,11,0,2921,3268
1996,11,1,413,493
1996,12,0,2883,3217
1996,12,1,374,442
1997,1,0,2507,2785
1997,1,1,351,398
1997,2,0,2216,2459
1997,2,1,283,331
1997,3,0,2435,2699
1997,3,1,329,384
1997,4,0,2481,2771
1997,4,1,346,394
1997,5,0,2925,3282
1997,5,1,426,504
1997,6,0,2801,3114
1997,6,1,434,526
1997,7,0,2932,3318
1997,7,1,457,573
1997,8,0,3057,3446
1997,8,1,481,573
1997,9,0,2722,3054
1997,9,1,369,416
1997,10,0,3018,3342
1997,10,1,357,411
1997,11,0,2810,3169
1997,11,1,363,419
1997,12,0,2878,3242
1997,12,1,346,403
1998,1,0,2412,2646
1998,1,1,350,406
1998,2,0,2211,2457
1998,2,1,308,350
1998,3,0,2373,2650
1998,3,1,335,393
1998,4,0,2410,2668
1998,4,1,356,414
1998,5,0,2714,3007
1998,5,1,398,468
1998,6,0,2748,3101
1998,6,1,406,494
1998,7,0,2999,3367
1998,7,1,460,528
1998,8,0,3068,3446
1998,8,1,489,594
1998,9,0,2845,3122
1998,9,1,395,443
1998,10,0,2962,3266
1998,10,1,386,431
1998,11,0,2816,3144
1998,11,1,354,404
1998,12,0,2911,3239
1998,12,1,401,463
1999,1,0,2235,2472
1999,1,1,351,405
1999,2,0,2136,2387
1999,2,1,276,311
1999,3,0,2467,2755
1999,3,1,343,392
1999,4,0,2422,2706
1999,4,1,346,402
1999,5,0,2832,3160
1999,5,1,416,506
1999,6,0,2713,3011
1999,6,1,428,532
1999,7,0,2979,3344
1999,7,1,437,520
1999,8,0,3039,3419
1999,8,1,496,585
1999,9,0,2874,3165
1999,9,1,429,514
1999,10,0,3046,3402
1999,10,1,411,467
1999,11,0,2834,3156
1999,11,1,374,443
1999,12,0,2828,3143
1999,12,1,428,520
2000,1,0,2528,2776
2000,1,1,359,423
2000,2,0,2245,2485
2000,2,1,289,317
2000,3,0,2458,2744
2000,3,1,382,455
2000,4,0,2638,2928
2000,4,1,388,436
2000,5,0,2758,3072
2000,5,1,419,490
2000,6,0,2799,3127
2000,6,1,454,523
2000,7,0,3018,3383
2000,7,1,497,613
2000,8,0,2985,3309
2000,8,1,468,551
2000,9,0,2943,3253
2000,9,1,430,495
2000,10,0,2965,3300
2000,10,1,387,446
2000,11,0,2609,2898
2000,11,1,392,443
2000,12,0,2692,2997
2000,12,1,423,481
2001,1,0,2275,2517
2001,1,1,380,450
2001,2,0,2156,2426
2001,2,1,314,338
2001,3,0,2404,2678
2001,3,1,391,467
2001,4,0,2565,2863
2001,4,1,366,418
2001,5,0,2813,3116
2001,5,1,458,539
2001,6,0,2782,3096
2001,6,1,434,507
2001,7,0,3000,3305
2001,7,1,479,575
2001,8,0,3018,3310
2001,8,1,508,585
2001,9,0,2907,3194
2001,9,1,396,435
2001,10,0,3084,3431
2001,10,1,406,455
2001,11,0,2980,3292
2001,11,1,390,446
2001,12,0,2960,3303
2001,12,1,396,450
2002,1,0,2648,2885
2002,1,1,374,439
2002,2,0,2309,2593
2002,2,1,300,337
2002,3,0,2662,2991
2002,3,1,395,478
2002,4,0,2583,2850
2002,4,1,340,381
2002,5,0,2855,3161
2002,5,1,432,511
2002,6,0,2966,3270
2002,6,1,451,575
2002,7,0,3037,3411
2002,7,1,486,606
2002,8,0,3089,3419
2002,8,1,471,537
2002,9,0,2966,3270
2002,9,1,409,484
2002,10,0,2941,3235
2002,10,1,415,476
2002,11,0,2753,3058
2002,11,1,396,450
2002,12,0,2779,3082
2002,12,1,434,506
2003,1,0,2463,2669
2003,1,1,323,383
2003,2,0,2139,2358
2003,2,1,352,415
2003,3,0,2478,2752
2003,3,1,358,418
2003,4,0,2715,3021
2003,4,1,382,426
2003,5,0,2806,3109
2003,5,1,384,445
2003,6,0,2939,3239
2003,6,1,408,488
2003,7,0,3022,3405
2003,7,1,498,613
2003,8,0,3216,3563
2003,8,1,456,526
2003,9,0,2922,3211
2003,9,1,423,496
2003,10,0,3145,3460
2003,10,1,422,490
2003,11,0,3046,3368
2003,11,1,415,473
2003,12,0,2773,3085
2003,12,1,392,471
2004,1,0,2556,2806
2004,1,1,383,445
2004,2,0,2263,2530
2004,2,1,334,395
2004,3,0,2511,2781
2004,3,1,366,426
2004,4,0,2636,2937
2004,4,1,390,461
2004,5,0,2999,3312
2004,5,1,439,491
2004,6,0,2881,3220
2004,6,1,448,554
2004,7,0,3055,3368
2004,7,1,444,534
2004,8,0,3095,3396
2004,8,1,508,607
2004,9,0,2863,3121
2004,9,1,391,465
2004,10,0,3020,3335
2004,10,1,429,508
2004,11,0,2761,3059
2004,11,1,384,442
2004,12,0,2855,3142
2004,12,1,433,501
