YEAR,MONTH,fatal_crashes,fatalities
1996,1,2665,2989
1996,2,2572,2845
1996,3,2886,3257
1996,4,2919,3284
1996,5,3084,3447
1996,6,3399,3826
1996,7,3213,3618
1996,8,3487,3941
1996,9,3194,3623
1996,10,3484,3815
1996,11,3334,3761
1996,12,3257,3659
1997,1,2858,3183
1997,2,2499,2790
1997,3,2764,3083
1997,4,2827,3165
1997,5,3351,3786
1997,6,3235,3640
1997,7,3389,3891
1997,8,3538,4019
1997,9,3091,3470
1997,10,3375,3753
1997,11,3173,3588
1997,12,3224,3645
1998,1,2762,3052
1998,2,2519,2807
1998,3,2708,3043
1998,4,2766,3082
1998,5,3112,3475
1998,6,3154,3595
1998,7,3459,3895
1998,8,3557,4040
1998,9,3240,3565
1998,10,3348,3697
1998,11,3170,3548
1998,12,3312,3702
1999,1,2586,2877
1999,2,2412,2698
1999,3,2810,3147
1999,4,2768,3108
1999,5,3248,3666
1999,6,3141,3543
1999,7,3416,3864
1999,8,3535,4004
1999,9,3303,3679
1999,10,3457,3869
1999,11,3208,3599
1999,12,3256,3663
2000,1,2887,3199
2000,2,2534,2802
2000,3,2840,3199
2000,4,3026,3364
2000,5,3177,3562
2000,6,3253,3650
2000,7,3515,3996
2000,8,3453,3860
2000,9,3373,3748
2000,10,3352,3746
2000,11,3001,3341
2000,12,3115,3478
2001,1,2655,2967
2001,2,2470,2764
2001,3,2795,3145
2001,4,2931,3281
2001,5,3271,3655
2001,6,3216,3603
2001,7,3479,3880
2001,8,3526,3895
2001,9,3303,3629
2001,10,3490,3886
2001,11,3370,3738
2001,12,3356,3753
2002,1,3022,3324
2002,2,2609,2930
2002,3,3057,3469
2002,4,2923,3231
2002,5,3287,3672
2002,6,3417,3845
2002,7,3523,4017
2002,8,3560,3956
2002,9,3375,3754
2002,10,3356,3711
2002,11,3149,3508
2002,12,3213,3588
2003,1,2786,3052
2003,2,2491,2773
2003,3,2836,3170
2003,4,3097,3447
2003,5,3190,3554
2003,6,3347,3727
2003,7,3520,4018
2003,8,3672,4089
2003,9,3345,3707
2003,10,3567,3950
2003,11,3461,3841
2003,12,3165,3556
2004,1,2939,3251
2004,2,2597,2925
2004,3,2877,3207
2004,4,3026,3398
2004,5,3438,3803
2004,6,3329,3774
2004,7,3499,3902
2004,8,3603,4003
2004,9,3254,3586
2004,10,3449,3843
2004,11,3145,3501
2004,12,3288,3643
