"Time","Twitter","LinkedIn","TikTok","Instagram"
"2022-05-01",74,25,33,78
"2022-05-08",75,26,33,84
"2022-05-15",77,26,33,81
"2022-05-22",71,25,34,88
"2022-05-29",68,23,34,82
"2022-06-05",67,25,34,79
"2022-06-12",68,25,35,81
"2022-06-19",70,25,38,80
"2022-06-26",74,26,37,85
"2022-07-03",76,23,39,81
"2022-07-10",81,31,39,82
"2022-07-17",69,30,38,80
"2022-07-24",64,25,39,85
"2022-07-31",66,25,37,77
"2022-08-07",77,27,37,82
"2022-08-14",68,26,38,79
"2022-08-21",71,27,36,80
"2022-08-28",69,25,34,76
"2022-09-04",68,23,33,77
"2022-09-11",70,25,33,77
"2022-09-18",67,26,34,73
"2022-09-25",70,24,40,77
"2022-10-02",79,25,47,90
"2022-10-09",72,24,34,73
"2022-10-16",70,26,35,72
"2022-10-23",92,24,35,72
"2022-10-30",100,25,35,78
"2022-11-06",92,24,34,70
"2022-11-13",94,25,33,70
"2022-11-20",83,17,36,69
"2022-11-27",77,23,33,68
"2022-12-04",78,23,34,70
"2022-12-11",80,22,38,76
"2022-12-18",78,20,39,76
"2022-12-25",68,16,38,76
"2023-01-01",73,23,34,74
